0.2008,1,size
0.2016,0,size
0.4016,1,size
0.4024,0,size
0.4024,1,size
0.4024,2,size
0.4032,1,size
0.404,0,size
0.6024,1,size
0.6032,0,size
0.6032,1,size
0.6032,2,size
0.604,1,size
0.604,2,size
0.604,3,size
0.6048,2,size
0.6048,3,size
0.6056,2,size
0.6064,1,size
0.6072,0,size
0.8032,1,size
0.804,0,size
0.804,1,size
0.804,2,size
0.8048,1,size
0.8048,2,size
0.8048,3,size
0.8056,2,size
0.8056,3,size
0.8056,4,size
0.8064,3,size
0.8064,4,size
0.8064,5,size
0.8072,4,size
0.8072,5,size
0.808,4,size
0.808,5,size
0.8088,4,size
0.8096,3,size
0.8104,2,size
0.8112,1,size
0.812,0,size
1.2064,1,size
1.2072,0,size
1.4072,1,size
1.4072,2,size
1.408,1,size
1.4088,0,size
1.608,1,size
1.6088,0,size
1.6088,1,size
1.6088,2,size
1.6096,1,size
1.6096,2,size
1.6096,3,size
1.6104,2,size
1.6112,1,size
1.612,0,size
1.8088,1,size
1.8096,0,size
1.8096,1,size
1.8104,0,size
1.8104,1,size
1.8112,0,size
1.8112,1,size
1.812,0,size
1.812,1,size
1.8128,0,size
1.8128,1,size
1.8136,0,size
2.0104,1,size
2.0112,0,size
2.0112,1,size
2.012,0,size
2.012,1,size
2.0128,0,size
2.0128,1,size
2.0136,0,size
2.0136,1,size
2.0144,0,size
2.0144,1,size
2.0152,0,size
2.212,1,size
2.2128,0,size
2.2128,1,size
2.2136,0,size
2.2136,1,size
2.2144,0,size
2.2144,1,size
2.2152,0,size
2.2152,1,size
2.216,0,size
2.216,1,size
2.2168,0,size
2.4144,1,size
2.4152,0,size
2.4152,1,size
2.416,0,size
2.416,1,size
2.4168,0,size
2.4168,1,size
2.4176,0,size
2.4176,1,size
2.4184,0,size
2.6152,1,size
2.616,0,size
2.616,1,size
2.6168,0,size
2.6168,1,size
2.6176,0,size
2.6176,1,size
2.6184,0,size
2.6184,1,size
2.6192,0,size
2.6192,1,size
2.62,0,size
2.8168,1,size
2.8176,0,size
2.8176,1,size
2.8184,0,size
2.8184,1,size
2.8192,0,size
2.8192,1,size
2.82,0,size
2.82,1,size
2.8208,0,size
2.8208,1,size
2.8216,0,size
3.0184,1,size
3.0192,0,size
3.0192,1,size
3.02,0,size
3.02,1,size
3.0208,0,size
3.0208,1,size
3.0216,0,size
3.0216,1,size
3.0224,0,size
3.0224,1,size
3.0232,0,size
3.22,1,size
3.2208,0,size
3.2208,1,size
3.2216,0,size
3.2216,1,size
3.2224,0,size
3.2224,1,size
3.2232,0,size
3.2232,1,size
3.224,0,size
3.224,1,size
3.2248,0,size
3.4216,1,size
3.4224,0,size
3.4224,1,size
3.4232,0,size
3.4232,1,size
3.424,0,size
3.424,1,size
3.4248,0,size
3.4248,1,size
3.4256,0,size
3.4256,1,size
3.4264,0,size
3.6232,1,size
3.624,0,size
3.624,1,size
3.6248,0,size
3.6248,1,size
3.6256,0,size
3.6256,1,size
3.6264,0,size
3.6264,1,size
3.6272,0,size
3.6272,1,size
3.628,0,size
3.8248,1,size
3.8256,0,size
3.8256,1,size
3.8264,0,size
3.8264,1,size
3.8272,0,size
3.8272,1,size
3.828,0,size
3.828,1,size
3.8288,0,size
3.8288,1,size
3.8296,0,size
4.0264,1,size
4.0272,0,size
4.0272,1,size
4.028,0,size
4.028,1,size
4.0288,0,size
4.0288,1,size
4.0296,0,size
4.0296,1,size
4.0304,0,size
4.0304,1,size
4.0312,0,size
4.228,1,size
4.2288,0,size
4.2288,1,size
4.2296,0,size
4.2296,1,size
4.2304,0,size
4.2304,1,size
4.2312,0,size
4.2312,1,size
4.232,0,size
4.232,1,size
4.2328,0,size
4.4296,1,size
4.4304,0,size
4.4304,1,size
4.4312,0,size
4.4312,1,size
4.432,0,size
4.432,1,size
4.4328,0,size
4.4328,1,size
4.4336,0,size
4.4336,1,size
4.4344,0,size
4.6312,1,size
4.632,0,size
4.632,1,size
4.6328,0,size
4.6328,1,size
4.6336,0,size
4.6336,1,size
4.6344,0,size
4.6344,1,size
4.6352,0,size
4.6352,1,size
4.636,0,size
4.8328,1,size
4.8336,0,size
4.8336,1,size
4.8344,0,size
4.8344,1,size
4.8352,0,size
4.8352,1,size
4.836,0,size
4.836,1,size
4.8368,0,size
4.8368,1,size
4.8376,0,size
5.0344,1,size
5.0352,0,size
5.0352,1,size
5.036,0,size
5.036,1,size
5.0368,0,size
5.0368,1,size
5.0376,0,size
5.0376,1,size
5.0384,0,size
5.0384,1,size
5.0392,0,size
5.236,1,size
5.2368,0,size
5.2368,1,size
5.2376,0,size
5.2376,1,size
5.2384,0,size
5.2384,1,size
5.2392,0,size
5.2392,1,size
5.24,0,size
5.24,1,size
5.2408,0,size
5.4376,1,size
5.4384,0,size
5.4384,1,size
5.4392,0,size
5.4392,1,size
5.44,0,size
5.44,1,size
5.4408,0,size
5.4408,1,size
5.4416,0,size
5.4416,1,size
5.4424,0,size
5.6392,1,size
5.64,0,size
5.64,1,size
5.6408,0,size
5.6408,1,size
5.6416,0,size
5.6416,1,size
5.6424,0,size
5.6424,1,size
5.6432,0,size
5.6432,1,size
5.644,0,size
5.8408,1,size
5.8416,0,size
5.8416,1,size
5.8424,0,size
5.8424,1,size
5.8432,0,size
5.8432,1,size
5.844,0,size
5.844,1,size
5.8448,0,size
5.8448,1,size
5.8456,0,size
6.0424,1,size
6.0432,0,size
6.0432,1,size
6.044,0,size
6.044,1,size
6.0448,0,size
6.0448,1,size
6.0456,0,size
6.0456,1,size
6.0464,0,size
6.0464,1,size
6.0472,0,size
6.244,1,size
6.2448,0,size
6.2448,1,size
6.2456,0,size
6.2456,1,size
6.2464,0,size
6.2464,1,size
6.2472,0,size
6.2472,1,size
6.248,0,size
6.248,1,size
6.2488,0,size
6.4456,1,size
6.4464,0,size
6.4464,1,size
6.4472,0,size
6.4472,1,size
6.448,0,size
6.448,1,size
6.4488,0,size
6.4488,1,size
6.4496,0,size
6.4496,1,size
6.4504,0,size
6.6472,1,size
6.648,0,size
6.648,1,size
6.6488,0,size
6.6488,1,size
6.6496,0,size
6.6496,1,size
6.6504,0,size
6.6504,1,size
6.6512,0,size
6.6512,1,size
6.652,0,size
