Time,Sequence Number,Event
0,0,send
0,0,transmit
0.2008,0,ack
0.2008,1000,send
0.2008,2000,send
0.2008,1000,transmit
0.2016,2000,transmit
0.4016,1000,ack
0.4016,3000,send
0.4016,4000,send
0.4016,3000,transmit
0.4024,2000,ack
0.4024,5000,send
0.4024,6000,send
0.4024,4000,transmit
0.4032,5000,transmit
0.404,6000,transmit
0.6024,3000,ack
0.6024,7000,send
0.6024,8000,send
0.6024,7000,transmit
0.6032,4000,ack
0.6032,9000,send
0.6032,10000,send
0.6032,8000,transmit
0.604,5000,ack
0.604,11000,send
0.604,12000,send
0.604,9000,transmit
0.6048,6000,ack
0.6048,13000,send
0.6048,14000,drop
0.6048,10000,transmit
0.6056,11000,transmit
0.6064,12000,transmit
0.6072,13000,transmit
0.8032,7000,ack
0.8032,15000,send
0.8032,16000,send
0.8032,15000,transmit
0.804,8000,ack
0.804,17000,send
0.804,18000,send
0.804,16000,transmit
0.8048,9000,ack
0.8048,19000,send
0.8048,20000,send
0.8048,17000,transmit
0.8056,10000,ack
0.8056,21000,send
0.8056,22000,send
0.8056,18000,transmit
0.8064,11000,ack
0.8064,23000,send
0.8064,24000,send
0.8064,19000,transmit
0.8072,12000,ack
0.8072,25000,send
0.8072,26000,drop
0.8072,20000,transmit
0.808,13000,ack
0.808,27000,send
0.808,28000,drop
0.808,21000,transmit
0.8088,22000,transmit
0.8096,23000,transmit
0.8104,24000,transmit
0.8112,25000,transmit
0.812,27000,transmit
1.004,13000,ack
1.0048,13000,ack
1.0056,13000,ack
1.0056,14000,send
1.0056,14000,transmit
1.0064,13000,ack
1.0072,13000,ack
1.008,13000,ack
1.0088,13000,ack
1.0096,13000,ack
1.0104,13000,ack
1.0112,13000,ack
1.012,13000,ack
1.0128,13000,ack
1.2064,25000,ack
1.2064,26000,send
1.2064,27000,send
1.2064,26000,transmit
1.2072,27000,transmit
1.4072,27000,ack
1.4072,28000,send
1.4072,29000,send
1.4072,30000,send
1.4072,28000,transmit
1.408,27000,ack
1.408,29000,transmit
1.4088,30000,transmit
1.608,28000,ack
1.608,31000,send
1.608,32000,send
1.608,31000,transmit
1.6088,29000,ack
1.6088,33000,send
1.6088,34000,send
1.6088,32000,transmit
1.6096,30000,ack
1.6096,35000,send
1.6096,36000,send
1.6096,33000,transmit
1.6104,34000,transmit
1.6112,35000,transmit
1.612,36000,transmit
1.8088,31000,ack
1.8088,37000,send
1.8088,38000,send
1.8088,37000,transmit
1.8096,32000,ack
1.8096,39000,send
1.8096,38000,transmit
1.8104,33000,ack
1.8104,40000,send
1.8104,39000,transmit
1.8112,34000,ack
1.8112,41000,send
1.8112,40000,transmit
1.812,35000,ack
1.812,42000,send
1.812,41000,transmit
1.8128,36000,ack
1.8128,43000,send
1.8128,42000,transmit
1.8136,43000,transmit
2.0096,37000,ack
2.0096,44000,send
2.0096,44000,transmit
2.0104,38000,ack
2.0104,45000,send
2.0104,46000,send
2.0104,45000,transmit
2.0112,39000,ack
2.0112,47000,send
2.0112,46000,transmit
2.012,40000,ack
2.012,48000,send
2.012,47000,transmit
2.0128,41000,ack
2.0128,49000,send
2.0128,48000,transmit
2.0136,42000,ack
2.0136,50000,send
2.0136,49000,transmit
2.0144,43000,ack
2.0144,51000,send
2.0144,50000,transmit
2.0152,51000,transmit
2.2104,44000,ack
2.2104,52000,send
2.2104,52000,transmit
2.2112,45000,ack
2.2112,53000,send
2.2112,53000,transmit
2.212,46000,ack
2.212,54000,send
2.212,55000,send
2.212,54000,transmit
2.2128,47000,ack
2.2128,56000,send
2.2128,55000,transmit
2.2136,48000,ack
2.2136,57000,send
2.2136,56000,transmit
2.2144,49000,ack
2.2144,58000,send
2.2144,57000,transmit
2.2152,50000,ack
2.2152,59000,send
2.2152,58000,transmit
2.216,51000,ack
2.216,60000,send
2.216,59000,transmit
2.2168,60000,transmit
2.4112,52000,ack
2.4112,61000,send
2.4112,61000,transmit
2.412,53000,ack
2.412,62000,send
2.412,62000,transmit
2.4128,54000,ack
2.4128,63000,send
2.4128,63000,transmit
2.4136,55000,ack
2.4136,64000,send
2.4136,64000,transmit
2.4144,56000,ack
2.4144,65000,send
2.4144,66000,send
2.4144,65000,transmit
2.4152,57000,ack
2.4152,67000,send
2.4152,66000,transmit
2.416,58000,ack
2.416,68000,send
2.416,67000,transmit
2.4168,59000,ack
2.4168,69000,send
2.4168,68000,transmit
2.4176,60000,ack
2.4176,70000,send
2.4176,69000,transmit
2.4184,70000,transmit
2.612,61000,ack
2.612,71000,send
2.612,71000,transmit
2.6128,62000,ack
2.6128,72000,send
2.6128,72000,transmit
2.6136,63000,ack
2.6136,73000,send
2.6136,73000,transmit
2.6144,64000,ack
2.6144,74000,send
2.6144,74000,transmit
2.6152,65000,ack
2.6152,75000,send
2.6152,76000,send
2.6152,75000,transmit
2.616,66000,ack
2.616,77000,send
2.616,76000,transmit
2.6168,67000,ack
2.6168,78000,send
2.6168,77000,transmit
2.6176,68000,ack
2.6176,79000,send
2.6176,78000,transmit
2.6184,69000,ack
2.6184,80000,send
2.6184,79000,transmit
2.6192,70000,ack
2.6192,81000,send
2.6192,80000,transmit
2.62,81000,transmit
2.8128,71000,ack
2.8128,82000,send
2.8128,82000,transmit
2.8136,72000,ack
2.8136,83000,send
2.8136,83000,transmit
2.8144,73000,ack
2.8144,84000,send
2.8144,84000,transmit
2.8152,74000,ack
