Time,Sequence Number,Event
36.5104,66000,transmit
36.5264,58000,ack
36.5264,67000,send
36.5264,68000,send
36.5264,67000,transmit
36.5272,68000,transmit
36.528,58000,ack
36.5288,58000,ack
36.5304,58000,ack
36.5312,58000,ack
36.5472,58000,ack
36.548,58000,ack
37.548,59000,send
38.548,59000,send
39.548,59000,send
39.548,59000,transmit
39.5688,63000,ack
39.5688,64000,send
39.5688,65000,send
39.5688,66000,send
39.5688,67000,send
39.5688,68000,send
39.5688,69000,send
39.5688,70000,send
39.5688,71000,send
39.5688,72000,send
39.5688,73000,send
39.5688,64000,transmit
39.5696,67000,transmit
39.5704,71000,transmit
39.5712,73000,transmit
39.5904,68000,ack
39.5904,74000,send
39.5904,75000,send
39.5904,76000,send
39.5904,77000,send
39.5904,78000,send
39.5904,74000,transmit
39.5912,68000,ack
39.5912,76000,transmit
39.592,68000,ack
39.592,78000,transmit
39.612,68000,ack
39.6128,68000,ack
40.6128,69000,send
41.6128,69000,send
41.6128,69000,transmit
42.6128,69000,send
42.6128,69000,transmit
43.6128,69000,send
43.6128,69000,transmit
44.6128,69000,send
45.6128,69000,send
46.6128,69000,send
46.6128,69000,transmit
46.6336,69000,ack
46.6336,70000,send
46.6336,71000,send
46.6336,72000,send
46.6336,73000,send
46.6336,74000,send
46.6336,75000,send
46.6336,76000,send
46.6336,77000,send
46.6336,78000,send
46.6336,79000,send
46.6336,71000,transmit
46.6344,73000,transmit
46.6352,75000,transmit
46.636,76000,transmit
46.6368,77000,transmit
46.6376,78000,transmit
46.6544,69000,ack
46.6568,69000,ack
46.6576,69000,ack
46.6584,69000,ack
47.6584,70000,send
47.6584,70000,transmit
47.6792,71000,ack
47.6792,72000,send
47.6792,73000,send
47.6792,74000,send
47.6792,75000,send
47.6792,76000,send
47.6792,77000,send
47.6792,78000,send
47.6792,79000,send
47.6792,80000,send
47.6792,81000,send
47.6792,73000,transmit
47.68,74000,transmit
47.6808,75000,transmit
47.6816,77000,transmit
47.6824,79000,transmit
47.6832,81000,transmit
47.7008,71000,ack
47.7024,71000,ack
47.7032,71000,ack
48.7032,72000,send
